Date,Price,Open,High,Low,Vol.,Change %,range,timestamp,target,segment
2023-01-10,17439.1,17180.1,17491.0,17151.7,247140.0,1.51,339.2999999999993,2023-01-10,17439.1,main
2023-01-09,17180.1,17119.0,17390.8,17107.1,301240.0,0.36,283.7000000000007,2023-01-09,17180.1,main
2023-01-08,17119.0,16943.6,17119.0,16913.8,144840.0,1.04,205.20000000000073,2023-01-08,17119.0,main
2023-01-07,16943.6,16950.9,16979.6,16909.7,110480.0,-0.04,69.89999999999782,2023-01-07,16943.6,main
2023-01-06,16950.9,16829.8,17012.3,16707.6,233470.0,0.72,304.7000000000007,2023-01-06,16950.9,main
2023-01-05,16829.8,16852.2,16877.9,16772.3,178960.0,-0.13,105.60000000000218,2023-01-05,16829.8,main
2023-01-04,16852.1,16674.2,16976.5,16656.5,247390.0,1.07,320.0,2023-01-04,16852.1,main
2023-01-03,16674.2,16673.1,16773.2,16607.2,178730.0,-0.0,166.0,2023-01-03,16674.2,main
2023-01-02,16674.3,16618.4,16766.9,16551.0,136030.0,0.34,215.90000000000146,2023-01-02,16674.3,main
2023-01-01,16618.4,16537.5,16621.9,16499.7,107840.0,0.49,122.20000000000073,2023-01-01,16618.4,main
2022-12-31,16537.4,16607.2,16635.9,16487.3,130440.0,-0.42,148.60000000000218,2022-12-31,16537.4,main
2022-12-30,16607.2,16636.4,16644.4,16360.0,192760.0,-0.18,284.40000000000146,2022-12-30,16607.2,main
2022-12-29,16636.4,16546.2,16659.1,16496.6,181470.0,0.55,162.5,2022-12-29,16636.4,main
2022-12-28,16546.2,16705.9,16781.1,16474.2,217960.0,-0.96,306.8999999999978,2022-12-28,16546.2,main
2022-12-27,16706.1,16918.2,16964.0,16610.1,192180.0,-1.25,353.90000000000146,2022-12-27,16706.1,main
2022-12-26,16918.1,16831.8,16936.1,16799.4,133360.0,0.51,136.6999999999971,2022-12-26,16918.1,main
2022-12-25,16831.8,16835.7,16852.9,16733.0,132890.0,-0.03,119.90000000000146,2022-12-25,16831.8,main
2022-12-24,16837.2,16778.6,16855.8,16777.8,110120.0,0.35,78.0,2022-12-24,16837.2,main
2022-12-23,16779.1,16820.5,16910.7,16768.0,184120.0,-0.25,142.70000000000073,2022-12-23,16779.1,main
2022-12-22,16820.6,16831.8,16862.2,16566.1,198280.0,-0.07,296.1000000000022,2022-12-22,16820.6,main
2022-12-21,16831.8,16902.7,16919.4,16735.0,174340.0,-0.42,184.40000000000146,2022-12-21,16831.8,main
2022-12-20,16902.8,16441.3,17031.3,16400.7,284570.0,2.81,630.5999999999985,2022-12-20,16902.8,main
2022-12-19,16441.3,16741.1,16809.5,16331.2,207930.0,-1.79,478.2999999999993,2022-12-19,16441.3,main
2022-12-18,16741.1,16777.0,16825.7,16666.5,124290.0,-0.21,159.20000000000073,2022-12-18,16741.1,main
2022-12-17,16777.1,16629.0,16794.4,16587.0,164490.0,0.89,207.40000000000146,2022-12-17,16777.1,main
2022-12-16,16629.6,17356.7,17518.5,16542.4,303560.0,-4.19,976.0999999999985,2022-12-16,16629.6,main
2022-12-15,17356.1,17796.4,17846.1,17298.2,263440.0,-2.47,547.8999999999978,2022-12-15,17356.1,main
2022-12-14,17796.4,17778.6,18351.8,17682.1,318980.0,0.1,669.7000000000007,2022-12-14,17796.4,main
2022-12-13,17778.6,17210.9,17951.6,17094.5,328710.0,3.3,857.0999999999985,2022-12-13,17778.6,main
2022-12-12,17210.4,17093.2,17232.5,16878.5,249390.0,0.68,354.0,2022-12-12,17210.4,main
2022-12-11,17093.3,17127.0,17262.9,17080.6,167200.0,-0.2,182.3000000000029,2022-12-11,17093.3,main
2022-12-10,17127.2,17125.7,17220.5,17105.7,148810.0,0.01,114.79999999999927,2022-12-10,17127.2,main
2022-12-09,17125.7,17225.6,17288.6,17082.1,260839.99999999997,-0.58,206.5,2022-12-09,17125.7,main
2022-12-08,17225.7,16835.2,17294.2,16765.8,261640.0,2.32,528.4000000000015,2022-12-08,17225.7,main
2022-12-07,16835.2,17089.4,17126.7,16715.3,244360.0,-1.49,411.40000000000146,2022-12-07,16835.2,main
2022-12-06,17089.3,16966.3,17101.1,16914.9,246190.0,0.72,186.1999999999971,2022-12-06,17089.3,main
2022-12-05,16966.5,17106.9,17395.2,16886.9,268720.0,-0.85,508.2999999999993,2022-12-05,16966.5,main
2022-12-04,17112.6,16884.8,17198.1,16881.6,197120.0,1.35,316.5,2022-12-04,17112.6,main
2022-12-03,16884.5,17093.4,17132.6,16862.1,169290.0,-1.22,270.5,2022-12-03,16884.5,main
2022-12-02,17093.6,16972.2,17096.2,16799.9,227010.0,0.72,296.2999999999993,2022-12-02,17093.6,main
2022-12-01,16972.0,17163.4,17244.7,16868.9,266140.0,-1.12,375.7999999999993,2022-12-01,16972.0,main
2022-11-30,17163.9,16440.8,17215.5,16433.2,348220.0,4.4,782.2999999999993,2022-11-30,17163.9,main
2022-11-29,16440.4,16211.9,16531.4,16100.1,271580.0,1.41,431.3000000000011,2022-11-29,16440.4,main
2022-11-28,16211.7,16426.1,16481.4,16013.5,284840.0,-1.3,467.90000000000146,2022-11-28,16211.7,main
2022-11-27,16425.6,16456.4,16595.4,16414.6,173250.0,-0.19,180.8000000000029,2022-11-27,16425.6,main
2022-11-26,16456.5,16512.3,16686.3,16387.9,194940.0,-0.34,298.3999999999978,2022-11-26,16456.5,main
2022-11-25,16512.3,16600.6,16611.8,16360.9,204070.0,-0.54,250.89999999999964,2022-11-25,16512.3,main
2022-11-24,16601.2,16604.9,16785.6,16472.0,229590.0,-0.14,313.59999999999854,2022-11-24,16601.2,main
2022-11-23,16623.9,16216.9,16677.6,16162.3,305080.0,2.53,515.2999999999993,2022-11-23,16623.9,main
2022-11-22,16212.9,15776.6,16274.6,15620.4,287210.0,2.77,654.2000000000007,2022-11-22,16212.9,main
2022-11-21,15776.2,16278.6,16287.9,15504.2,372150.0,-3.13,783.6999999999989,2022-11-21,15776.2,main
2022-11-20,16286.7,16699.3,16749.3,16209.2,172830.0,-2.47,540.0999999999985,2022-11-20,16286.7,main
2022-11-19,16699.2,16652.2,16814.9,16608.9,114890.0,0.37,206.0,2022-11-19,16699.2,main
2022-11-18,16638.3,16715.4,16846.3,16553.0,241960.0,-0.32,293.2999999999993,2022-11-18,16638.3,main
2022-11-17,16691.2,16540.5,16739.7,16425.8,257000.0,0.91,313.90000000000146,2022-11-17,16691.2,main
2022-11-16,16540.5,16895.4,16993.4,16408.2,295730.0,-2.1,585.2000000000007,2022-11-16,16540.5,main
2022-11-15,16895.1,16615.0,17112.0,16543.9,337150.0,1.69,568.0999999999985,2022-11-15,16895.1,main
2022-11-14,16613.7,16325.0,17158.4,15834.0,442460.0,1.77,1324.4000000000015,2022-11-14,16613.7,main
2022-11-13,16324.5,16803.9,16946.5,16274.9,210800.0,-2.8,671.6000000000004,2022-11-13,16324.5,main
2022-11-12,16795.2,17049.9,17100.8,16633.9,192910.0,-1.49,466.8999999999978,2022-11-12,16795.2,main
2022-11-11,17049.9,17589.1,17679.4,16435.5,466350.0,-3.07,1243.9000000000015,2022-11-11,17049.9,main
2022-11-10,17589.1,15887.0,18138.2,15799.3,720740.0,10.71,2338.9000000000015,2022-11-10,17589.1,main
2022-11-09,15886.9,18538.9,18583.8,15603.3,869570.0,-14.25,2980.5,2022-11-09,15886.9,main
2022-11-08,18527.4,20589.0,20667.5,17260.0,865100.0,-10.01,3407.5,2022-11-08,18527.4,main
2022-11-07,20589.0,20916.3,21055.4,20410.5,414240.0,-1.56,644.9000000000015,2022-11-07,20589.0,main
2022-11-06,20916.3,21298.7,21360.4,20901.0,242260.0,-1.81,459.40000000000146,2022-11-06,20916.3,main
2022-11-05,21301.6,21145.7,21464.7,21084.1,261230.00000000003,0.74,380.6000000000022,2022-11-05,21301.6,main
2022-11-04,21145.9,20206.4,21281.9,20184.6,499500.0,4.65,1097.300000000003,2022-11-04,21145.9,main
2022-11-03,20206.4,20154.0,20384.5,20066.6,347230.0,0.26,317.90000000000146,2022-11-03,20206.4,main
2022-11-02,20154.4,20482.9,20778.3,20065.8,420230.0,-1.61,712.5,2022-11-02,20154.4,main
2022-11-01,20483.5,20496.1,20676.6,20348.1,302720.0,-0.06,328.5,2022-11-01,20483.5,main
2022-10-31,20496.3,20626.0,20822.4,20260.0,327470.0,-0.63,562.4000000000015,2022-10-31,20496.3,main
2022-10-30,20626.3,20809.4,20922.3,20522.5,207630.0,-0.88,399.7999999999993,2022-10-30,20626.3,main
2022-10-29,20809.8,20594.2,21038.1,20561.9,276540.0,1.05,476.1999999999971,2022-10-29,20809.8,main
2022-10-28,20594.4,20293.0,20744.0,20058.2,318900.0,1.49,685.7999999999993,2022-10-28,20594.4,main
2022-10-27,20292.9,20769.5,20867.9,20231.6,365490.0,-2.29,636.3000000000029,2022-10-27,20292.9,main
2022-10-26,20769.5,20086.8,20981.5,20062.9,427990.0,3.42,918.5999999999985,2022-10-26,20769.5,main
2022-10-25,20082.7,19331.8,20406.9,19249.0,371540.0,3.89,1157.9000000000015,2022-10-25,20082.7,main
2022-10-24,19331.5,19571.2,19588.6,19177.2,286940.0,-1.22,411.3999999999978,2022-10-24,19331.5,main
2022-10-23,19571.2,19204.8,19680.9,19092.5,180630.0,1.91,588.4000000000015,2022-10-23,19571.2,main
2022-10-22,19204.8,19162.6,19249.9,19116.1,118240.0,0.22,133.8000000000029,2022-10-22,19204.8,main
2022-10-21,19162.6,19042.9,19245.5,18703.3,294660.0,0.63,542.2000000000007,2022-10-21,19162.6,main
2022-10-20,19042.9,19125.1,19334.5,18935.6,253200.0,-0.42,398.90000000000146,2022-10-20,19042.9,main
2022-10-19,19123.9,19328.2,19358.6,19101.2,209280.0,-1.06,257.3999999999978,2022-10-19,19123.9,main
2022-10-18,19328.2,19548.4,19692.9,19102.8,290070.0,-1.13,590.1000000000022,2022-10-18,19328.2,main
2022-10-17,19548.2,19262.2,19663.5,19163.6,248400.0,1.49,499.90000000000146,2022-10-17,19548.2,main
2022-10-16,19261.9,19068.8,19411.9,19066.0,140950.0,1.01,345.90000000000146,2022-10-16,19261.9,main
2022-10-15,19068.7,19181.7,19218.7,19000.8,123660.0,-0.59,217.90000000000146,2022-10-15,19068.7,main
2022-10-14,19181.8,19379.8,19933.9,19098.6,400450.0,-1.02,835.3000000000029,2022-10-14,19181.8,main
2022-10-13,19379.8,19154.6,19494.4,18207.9,455130.0,1.17,1286.5,2022-10-13,19379.8,main
2022-10-12,19154.8,19058.5,19212.6,19010.6,242180.0,0.5,202.0,2022-10-12,19154.8,main
2022-10-11,19059.1,19134.3,19261.3,18868.7,288570.0,-0.39,392.59999999999854,2022-10-11,19059.1,main
2022-10-10,19134.6,19441.7,19520.7,19057.0,243770.0,-1.58,463.7000000000007,2022-10-10,19134.6,main
2022-10-09,19441.0,19416.3,19552.1,19329.6,127530.0,0.13,222.5,2022-10-09,19441.0,main
2022-10-08,19415.0,19530.2,19612.2,19274.7,113500.0,-0.6,337.5,2022-10-08,19415.0,main
2022-10-07,19531.3,19962.4,20051.4,19352.1,263500.0,-2.13,699.3000000000029,2022-10-07,19531.3,main
2022-10-06,19956.7,20157.5,20436.7,19873.7,370600.0,-1.0,563.0,2022-10-06,19956.7,main
2022-10-05,20157.5,20340.5,20353.8,19761.7,352760.0,-0.9,592.0999999999985,2022-10-05,20157.5,main
2022-10-04,20340.2,19629.7,20436.1,19506.4,368170.0,3.63,929.6999999999971,2022-10-04,20340.2,main
2022-10-03,19628.3,19057.6,19676.0,19001.3,333030.0,3.02,674.7000000000007,2022-10-03,19628.3,main
2022-10-02,19052.2,19311.9,19389.9,18937.3,222820.0,-1.34,452.6000000000022,2022-10-02,19052.2,main
2022-10-01,19311.9,19422.9,19480.3,19172.6,173910.0,-0.57,307.7000000000007,2022-10-01,19311.9,main
2022-09-30,19423.0,19593.4,20174.9,19208.9,490290.0,-0.87,966.0,2022-09-30,19423.0,main
2022-09-29,19593.0,19420.2,19631.5,18877.9,449570.0,0.94,753.5999999999985,2022-09-29,19593.0,main
2022-09-28,19411.0,19083.4,19757.8,18505.3,581190.0,1.73,1252.5,2022-09-28,19411.0,main
2022-09-27,19081.0,19228.8,20361.2,18850.4,660120.0,-0.75,1510.7999999999993,2022-09-27,19081.0,main
2022-09-26,19225.7,18803.1,19304.8,18695.2,516030.0,2.25,609.5999999999985,2022-09-26,19225.7,main
2022-09-25,18803.2,18925.1,19125.1,18659.6,209710.0,-0.64,465.5,2022-09-25,18803.2,main
2022-09-24,18925.2,19288.4,19310.6,18812.0,258500.0,-1.91,498.59999999999854,2022-09-24,18925.2,main
2022-09-23,19293.5,19404.1,19477.3,18554.8,431150.0,-0.57,922.5,2022-09-23,19293.5,main
2022-09-22,19404.0,18488.1,19490.9,18371.0,448630.0,4.95,1119.9000000000015,2022-09-22,19404.0,main
2022-09-21,18489.0,18875.1,19758.4,18191.8,446850.0,-2.03,1566.6000000000022,2022-09-21,18489.0,main
2022-09-20,18872.4,19538.9,19626.3,18742.6,361180.0,-3.41,883.7000000000007,2022-09-20,18872.4,main
2022-09-19,19538.9,19417.4,19666.6,18277.8,423430.0,0.62,1388.7999999999993,2022-09-19,19538.9,main
2022-09-18,19418.8,20113.9,20113.9,19347.7,273110.0,-3.45,766.2000000000007,2022-09-18,19418.8,main
2022-09-17,20113.5,19802.8,20178.6,19761.0,204580.0,1.57,417.59999999999854,2022-09-17,20113.5,main
2022-09-16,19802.4,19701.9,19883.0,19352.9,315590.0,0.51,530.0999999999985,2022-09-16,19802.4,main
2022-09-15,19701.7,20222.3,20321.4,19532.3,358420.0,-2.58,789.1000000000022,2022-09-15,19701.7,main
2022-09-14,20222.5,20175.5,20503.7,19654.2,374220.0,0.23,849.5,2022-09-14,20222.5,main
2022-09-13,20175.5,22395.3,22702.5,19909.6,485320.0,-9.91,2792.9000000000015,2022-09-13,20175.5,main
2022-09-12,22395.3,21836.6,22465.4,21581.6,431980.0,2.57,883.8000000000029,2022-09-12,22395.3,main
2022-09-11,21834.9,21650.4,21836.4,21363.0,297120.0,0.85,473.40000000000146,2022-09-11,21834.9,main
2022-09-10,21650.4,21363.8,21790.6,21139.9,331120.0,1.33,650.6999999999971,2022-09-10,21650.4,main
2022-09-09,21365.2,19318.8,21545.7,19294.1,480370.0,10.6,2251.600000000002,2022-09-09,21365.2,main
2022-09-08,19317.4,19281.5,19444.7,19034.5,291430.0,0.19,410.2000000000007,2022-09-08,19317.4,main
2022-09-07,19281.5,18786.3,19445.9,18548.4,319100.0,2.64,897.5,2022-09-07,19281.5,main
2022-09-06,18786.4,19793.4,20169.3,18723.3,402430.0,-5.09,1446.0,2022-09-06,18786.4,main
2022-09-05,19793.1,19999.9,20042.9,19650.7,238710.0,-1.03,392.2000000000007,2022-09-05,19793.1,main
2022-09-04,19999.9,19832.2,20017.8,19594.7,158270.0,0.85,423.09999999999854,2022-09-04,19999.9,main
2022-09-03,19831.4,19952.8,20043.8,19660.7,157850.0,-0.61,383.09999999999854,2022-09-03,19831.4,main
2022-09-02,19952.7,20131.6,20428.2,19764.7,272220.0,-0.86,663.5,2022-09-02,19952.7,main
2022-09-01,20126.1,20049.9,20202.7,19584.4,275080.0,0.41,618.2999999999993,2022-09-01,20126.1,main
2022-08-31,20043.9,19793.4,20469.1,19793.4,318170.0,1.27,675.6999999999971,2022-08-31,20043.9,main
2022-08-30,19792.6,20295.6,20558.2,19559.7,308410.0,-2.48,998.5,2022-08-30,19792.6,main
2022-08-29,20295.8,19551.3,20394.5,19551.2,248040.0,3.81,843.2999999999993,2022-08-29,20295.8,main
2022-08-28,19550.2,20034.2,20150.8,19542.9,159600.0,-2.41,607.8999999999978,2022-08-28,19550.2,main
2022-08-27,20033.9,20249.9,20343.6,19849.8,187340.0,-1.07,493.7999999999993,2022-08-27,20033.9,main
2022-08-26,20249.9,21564.2,21815.3,20122.4,322160.0,-6.1,1692.8999999999978,2022-08-26,20249.9,main
2022-08-25,21565.4,21365.4,21801.2,21324.8,190150.0,0.94,476.40000000000146,2022-08-25,21565.4,main
2022-08-24,21365.2,21516.2,21832.3,21171.1,202400.0,-0.71,661.2000000000007,2022-08-24,21365.2,main
2022-08-23,21517.2,21416.5,21661.0,20919.6,228650.0,0.47,741.4000000000015,2022-08-23,21517.2,main
2022-08-22,21416.3,21516.8,21517.4,20912.1,251830.0,-0.47,605.3000000000029,2022-08-22,21416.3,main
2022-08-21,21517.2,21138.9,21692.4,21077.4,177520.0,1.79,615.0,2022-08-21,21517.2,main
2022-08-20,21138.9,20830.7,21357.4,20784.8,206940.0,1.48,572.6000000000022,2022-08-20,21138.9,main
2022-08-19,20831.3,23201.6,23202.3,20807.8,339470.0,-10.22,2394.5,2022-08-19,20831.3,main
2022-08-18,23203.6,23337.7,23578.0,23131.3,160970.0,-0.58,446.7000000000007,2022-08-18,23203.6,main
2022-08-17,23338.0,23855.8,24423.5,23191.6,239530.0,-2.17,1231.9000000000015,2022-08-17,23338.0,main
2022-08-16,23856.8,24102.6,24240.8,23693.8,201700.0,-1.02,547.0,2022-08-16,23856.8,main
2022-08-15,24101.7,24303.3,25205.7,23784.5,279280.0,-0.83,1421.2000000000007,2022-08-15,24101.7,main
2022-08-14,24302.8,24442.1,24997.3,24172.2,177250.0,-0.57,825.0999999999985,2022-08-14,24302.8,main
2022-08-13,24442.5,24398.9,24882.9,24318.7,170590.0,0.18,564.2000000000007,2022-08-13,24442.5,main
2022-08-12,24398.7,23935.3,24440.8,23616.4,194960.0,1.94,824.3999999999978,2022-08-12,24398.7,main
2022-08-11,23935.3,23963.3,24873.5,23864.0,285360.0,-0.12,1009.5,2022-08-11,23935.3,main
2022-08-10,23962.9,23150.3,24209.9,22714.7,243610.0,3.53,1495.2000000000007,2022-08-10,23962.9,main
2022-08-09,23146.7,23818.1,23912.0,22886.5,169620.0,-2.81,1025.5,2022-08-09,23146.7,main
2022-08-08,23816.3,23175.3,24234.1,23160.6,197940.0,2.77,1073.5,2022-08-08,23816.3,main
2022-08-07,23175.3,22944.2,23387.7,22852.3,99360.0,1.01,535.4000000000015,2022-08-07,23175.3,main
2022-08-06,22944.2,23308.2,23344.4,22923.6,94440.0,-1.56,420.8000000000029,2022-08-06,22944.2,main
2022-08-05,23308.2,22613.3,23447.6,22593.5,208900.0,3.08,854.0999999999985,2022-08-05,23308.2,main
2022-08-04,22612.1,22822.2,23214.5,22438.7,181190.0,-0.91,775.7999999999993,2022-08-04,22612.1,main
2022-08-03,22820.8,22988.7,23623.7,22698.6,174660.0,-0.73,925.1000000000022,2022-08-03,22820.8,main
2022-08-02,22988.6,23271.1,23423.3,22670.8,177300.0,-1.21,752.5,2022-08-02,22988.6,main
2022-08-01,23271.2,23303.4,23484.4,22863.8,162330.0,-0.14,620.6000000000022,2022-08-01,23271.2,main
2022-07-31,23303.4,23634.2,24179.3,23236.2,138840.0,-1.4,943.0999999999985,2022-07-31,23303.4,main
2022-07-30,23634.2,23774.2,24605.3,23521.8,168720.0,-0.59,1083.5,2022-07-30,23634.2,main
2022-07-29,23774.3,23850.2,24340.0,23451.4,221660.0,-0.32,888.5999999999985,2022-07-29,23774.3,main
2022-07-28,23850.0,22957.7,24190.5,22611.6,268320.0,3.88,1578.9000000000015,2022-07-28,23850.0,main
2022-07-27,22958.3,21248.0,23027.8,21047.5,242660.0,8.05,1980.2999999999993,2022-07-27,22958.3,main
2022-07-26,21248.7,21301.6,21322.3,20737.3,201570.0,-0.25,585.0,2022-07-26,21248.7,main
2022-07-25,21301.9,22582.3,22653.3,21275.4,206930.0,-5.67,1377.8999999999978,2022-07-25,21301.9,main
2022-07-24,22582.1,22449.8,22987.9,22281.3,126660.0,0.54,706.6000000000022,2022-07-24,22582.1,main
2022-07-23,22460.4,22683.6,22991.0,21971.7,137420.0,-0.95,1019.2999999999993,2022-07-23,22460.4,main
2022-07-22,22675.2,23150.0,23741.4,22524.2,197540.0,-2.06,1217.2000000000007,2022-07-22,22675.2,main
2022-07-21,23153.0,23219.9,23403.8,22360.2,217080.0,-0.27,1043.5999999999985,2022-07-21,23153.0,main
2022-07-20,23215.2,23412.0,24258.0,22944.4,281310.0,-0.83,1313.5999999999985,2022-07-20,23215.2,main
2022-07-19,23410.2,22529.3,23757.3,21581.8,308910.0,3.93,2175.5,2022-07-19,23410.2,main
2022-07-18,22525.8,20785.6,22714.9,20770.6,279720.0,8.37,1944.300000000003,2022-07-18,22525.8,main
2022-07-17,20785.6,21209.8,21654.4,20755.2,132810.0,-2.0,899.2000000000007,2022-07-17,20785.6,main
2022-07-16,21209.9,20825.2,21561.3,20484.4,136890.0,1.85,1076.8999999999978,2022-07-16,21209.9,main
2022-07-15,20825.1,20586.1,21178.1,20393.4,164670.0,1.16,784.6999999999971,2022-07-15,20825.1,main
2022-07-14,20586.0,20250.0,20862.2,19664.9,205280.0,1.66,1197.2999999999993,2022-07-14,20586.0,main
2022-07-13,20250.0,19331.6,20250.8,18942.2,249380.0,4.75,1308.5999999999985,2022-07-13,20250.0,main
2022-07-12,19330.9,19963.2,20051.7,19279.6,167910.0,-3.17,772.1000000000022,2022-07-12,19330.9,main
2022-07-11,19963.2,20847.2,20855.0,19897.0,160200.0,-4.24,958.0,2022-07-11,19963.2,main
2022-07-10,20847.4,21587.4,21599.2,20689.7,204680.0,-3.43,909.5,2022-07-10,20847.4,main
2022-07-09,21587.5,21610.4,21944.1,21338.4,190110.0,-0.11,605.6999999999971,2022-07-09,21587.5,main
2022-07-08,21611.2,21637.1,22482.1,21207.0,439900.0,-0.12,1275.0999999999985,2022-07-08,21611.2,main
2022-07-07,21637.8,20557.9,21817.8,20282.7,115810.0,5.24,1535.0999999999985,2022-07-07,21637.8,main
2022-07-06,20561.1,20180.4,20654.9,19785.3,105240.0,1.78,869.6000000000022,2022-07-06,20561.1,main
2022-07-05,20200.6,20215.8,20706.9,19315.4,122430.0,-0.08,1391.5,2022-07-05,20200.6,main
2022-07-04,20215.8,19310.6,20303.8,19052.5,92790.0,4.69,1251.2999999999993,2022-07-04,20215.8,main
2022-07-03,19309.9,19243.4,19626.4,18794.4,65269.99999999999,0.35,832.0,2022-07-03,19309.9,main
2022-07-02,19243.2,19275.4,19425.4,19006.4,58570.0,-0.1,419.0,2022-07-02,19243.2,main
2022-07-01,19262.9,19926.6,20785.6,18980.1,150180.0,-3.33,1805.5,2022-07-01,19262.9,main
2022-06-30,19926.6,20111.3,20155.1,18682.7,127730.0,-0.92,1472.3999999999978,2022-06-30,19926.6,main
2022-06-29,20111.3,20278.0,20415.8,19880.7,98970.0,-0.82,535.0999999999985,2022-06-29,20111.3,main
2022-06-28,20278.0,20727.9,21200.2,20210.5,83830.0,-2.18,989.7000000000007,2022-06-28,20278.0,main
2022-06-27,20730.2,21037.7,21497.5,20568.0,84690.0,-1.49,929.5,2022-06-27,20730.2,main
2022-06-26,21043.5,21489.9,21837.4,20989.7,67210.0,-2.08,847.7000000000007,2022-06-26,21043.5,main
2022-06-25,21489.9,21226.9,21553.4,20917.5,66630.0,1.24,635.9000000000015,2022-06-25,21489.9,main
2022-06-24,21226.9,21100.9,21488.7,20743.9,104560.0,0.6,744.7999999999993,2022-06-24,21226.9,main
2022-06-23,21100.7,19967.3,21189.8,19907.5,110700.0,5.68,1282.2999999999993,2022-06-23,21100.7,main
2022-06-22,19965.8,20720.2,20864.3,19780.2,125940.0,-3.64,1084.0999999999985,2022-06-22,19965.8,main
2022-06-21,20720.4,20571.6,21689.3,20371.7,136320.0,0.72,1317.5999999999985,2022-06-21,20720.4,main
